ID,MainActivityType,InstallationOrAircraftOperatorID,InstallationNameOrAircraftOperatorCode,LatestComplianceCode,MainActivityTypeCode,PermitOrPlanID,AccountHolderName,PermitOrPlanDate,NationalAdministratorCode,NationalAdministrator,AMOwnershipFirstYear,AMOwnershipLastYear,FirstYearOfEmissions,LastYearOfEmissions,Address1,ZipCode,City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Latitude,Longitude,Link
FR628,Production of pig iron or steel,628,ARCELORMITTAL MEDITERRANEE,A,24,6401052,ARCELORMITTAL MEDITERRANEE,2005-01-01,FR,France,,,2005,,Zone Industrielle,13270,Fos sur Mer,8725948,7950830,6462343,4726806,6133536,5429074,7140687,7988487,7916572,7861098,7237403,7934947,7460796,7659332,5802758,6902092,,,,,,,,,,43.4745483,4.9143239,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=95098&action=all&languageCode=en&registryCode=FR
FR555,Combustion of fuels,555,ARCELORMITTAL FRANCE - Basse Indre,A,20,6301117,ARCELORMITTAL FRANCE,1974-07-16,FR,France,,,2005,,"Route des Sables, 5 -",44610,INDRE,16732,18734,12781,13428,10152,6125,11574,20095,20167,19681,19593,18499,18842,18382,16474,24352,,,,,,,,,,46.6707535,0.9812967,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=95450&action=all&languageCode=en&registryCode=FR
FR206065,Production or processing of ferrous metals,206065,ARCELORMITTAL GANDRANGE AMNEVILLE,A,25,6201286,ARCELORMITTAL GANDRANGE,2010-01-01,FR,France,,,2013,,Rue de l'Usine,57360,Amneville,,,,,,,,20395,27623,23333,26947,27080,24146,19546,16649,25758,,,,,,,,,,49.2592378,6.1459908,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=111452&action=all&languageCode=en&registryCode=FR
FR206303,Production or processing of ferrous metals,206303,Arcelormittal Construction France- Site 1,A,25,6200776,ARCELORMITTAL CONSTRUCTION France,2003-12-11,FR,France,,,2013,,Zone Industrielle - Site 1,55800,Contrisson,,,,,,,,19164,23005,25096,25030,25328,24636,24936,25168,27315,,,,,,,,,,48.802939,4.954217,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=111782&action=all&languageCode=en&registryCode=FR
FR206305,Production or processing of ferrous metals,206305,ARCELORMITTAL CONSTRUCTION France- Site 2,A,25,6204558,ARCELORMITTAL CONSTRUCTION France,2009-05-19,FR,France,,,2013,,Zone Industrielle- Site 2,55800,Contrisson,,,,,,,,10875,12229,12276,12101,13367,13321,13187,11673,12106,,,,,,,,,,48.8105888,4.9585723,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=111783&action=all&languageCode=en&registryCode=FR
FR207242,Combustion of fuels,207242,ARCELORMITTAL ATLANTIQUE ET LORRAINE Basse-Indre,C,20,6301117,ARCELORMITTAL ATLANTIQUE ET LORRAINE,1974-07-16,FR,France,,,2015,2015,Route des Sables 5 - RD 107,44610,INDRE,,,,,,,,,,,,,,,,,,,,,,,,,,46.6613966,1.4482662,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=112909&action=all&languageCode=en&registryCode=FR
DE4150,Production or processing of ferrous metals,4150,Kaltwalzwerk,A,25,14225-0016,ArcelorMittal Eisenhüttenstadt GmbH,2011-01-01,DE,Germany,,,2011,,Werkstrasse 1,15890,Eisenhüttenstadt,,,,,,19443,20087,22833,21569,21117,23290,25353,24831,25659,23502,24300,,,,,,,,,,52.1611794,14.6288292,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=103473&action=all&languageCode=en&registryCode=DE
DE1228,Combustion of fuels,1228,Block 4 Bremen,A,20,14310-0672,ArcelorMittal Bremen GmbH,2005-01-01,DE,Germany,,,2005,,"Auf den Delben 35, 28237 Bremen",28215,Bremen,1533072,1268741,988054,623513,1012654,928296,237244,2185868,2713278,2515126,2845273,2322631,2481393,2463056,1751452,2519316,,,,,,,,,,53.139791,8.7120512,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=104203&action=all&languageCode=en&registryCode=DE
DE185,"Production of lime, or calcination of dolomite/magnesite",185,Kalkbrennmahlanlage,A,30,14240-0073,ArcelorMittal Eisenhüttenstadt GmbH,2005-01-01,DE,Germany,,,2005,,Werkstraße 1,15890,Eisenhüttenstadt,167828,155281,132638,96145,133254,133444,112293,122035,117430,147863,130871,152537,153036,142501,127174,153749,,,,,,,,,,52.1611794,14.6288292,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=104205&action=all&languageCode=en&registryCode=DE
DE1364,Combustion of fuels,1364,Dampfkesselanlage Bremen,A,20,14310-0819,ArcelorMittal Bremen GmbH,2005-01-01,DE,Germany,,,2005,,Carl-Benz- Straße 30,28237,Bremen,72779,82266,86478,116136,101299,107403,123759,141444,120792,103271,82346,62586,83844,83363,84813,51635,,,,,,,,,,53.1409357,8.6834813,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=104393&action=all&languageCode=en&registryCode=DE
DE44,Production of pig iron or steel,44,Stahlwerk Duisburg,A,24,14220-0007,ArcelorMittal Hochfeld GmbH,2005-01-01,DE,Germany,,,2005,,Vohwinkelstr. 107,47137,Duisburg,267586,272139,257083,128827,248179,237782,237189,243731,206954,244505,266524,221836,230041,185066,197811,217057,,,,,,,,,,51.4581606,6.7434963,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105259&action=all&languageCode=en&registryCode=DE
DE45,Production of coke,45,Kokerei Prosper (ohne Kesselhaus),A,22,14220-0008,ArcelorMittal Bremen GmbH,2005-01-01,DE,Germany,,,2005,,Prosperstraße 350,46238,Bottrop,359773,413877,408302,263967,374692,379959,340885,337902,301683,323528,439947,410156,396389,429798,304758,309103,,,,,,,,,,51.5209626,6.970655,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105266&action=all&languageCode=en&registryCode=DE
DE56,Production of pig iron or steel,56,Einheitliche Anlage Stahlwerk Dillinger Hütte,A,24,14220-0019,Aktien-Gesellschaft der Dillinger Hüttenwerke,2005-01-01,DE,Germany,,,2005,,Werkstraße 1,66763,Dillingen,423813,467673,444597,328649,376035,424216,396851,347786,413546,415452,411923,441634,407136,395140,324213,400975,,,,,,,,,,49.3552761,6.7313863,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105336&action=all&languageCode=en&registryCode=DE
